"year","month","date","hour","temp","pressure","humidity","wind speed","wind direction","clouds","weather code"
"2013","04","01","00","284.14","1018","56","2","171","10","2"
"2013","04","01","01","282.26","1018","0","1","150","10","2"
"2013","04","01","02","281.11","1018","0","0","162","10","2"
"2013","04","01","03","280.13","1020","0","1","130","1","1"
"2013","04","01","04","279.37","1020","64","0","0","1","1"
"2013","04","01","05","278.34","1020","74","0","0","1","1"
"2013","04","01","06","277.85","1020","69","0","0","1","1"
"2013","04","01","07","277.22","1020","0","0","0","1","1"
"2013","04","01","08","276.24","1020","86","0","0","1","1"
"2013","04","01","09","275.8","1020","80","0","0","1","1"
"2013","04","01","10","275.24","1019","86","0","0","1","1"
"2013","04","01","11","274.58","1019","92","0","0","5","2"
"2013","04","01","12","276.01","1018","0","0","211","99","4"
"2013","04","01","13","278.94","1018","57","1","188","99","4"
"2013","04","01","14","282.24","1017","0","1","161","99","4"
"2013","04","01","17","285.34","1016","47","5","160","90","4"
"2013","04","01","18","284.74","1016","0","9","160","90","4"
"2013","04","01","20","283.97","1013","50","8","170","90","10"
"2013","04","01","21","282.8","1011","53","5","140","90","10"
"2013","04","01","23","281.4","1010","70","6","140","90","10"
"2013","04","02","00","280.8","1007","87","7","130","90","50"
"2013","04","02","01","280.95","1007","87","7","130","90","50"
"2013","04","02","02","280.8","1006","87","4","110","90","50"
"2013","04","02","03","280.75","1005","93","1","10","90","50"
"2013","04","02","05","280.34","1005","93","2","260","90","50"
"2013","04","02","06","280.54","1005","93","3","280","90","50"
"2013","04","02","07","280.38","1005","81","4","240","75","50"
"2013","04","02","08","280.23","1005","81","3","230","75","4"
"2013","04","02","09","279.7","1006","93","3","250","1","1"
"2013","04","02","10","279.37","1006","93","4","240","40","50"
"2013","04","02","11","279.04","1006","93","0","0","1","50"
"2013","04","02","12","280.01","0","0","0","253","25","3"
"2013","04","02","13","282.11","1006","87","3","220","20","50"
"2013","04","02","14","283.84","1004","0","0","268","26","10"
"2013","04","02","15","285.52","1005","62","6","210","90","4"
"2013","04","02","16","287.28","1004","54","7","230","75","4"
"2013","04","02","17","289.06","1004","41","6","270","40","3"
"2013","04","02","18","289.42","1003","36","7","230","75","4"
"2013","04","02","19","288.79","1003","41","8","290","75","4"
"2013","04","02","20","287.43","1003","41","9","300","75","4"
"2013","04","02","21","284.91","1006","75","12","320","90","10"
"2013","04","02","22","280.56","1007","70","5","300","90","10"
"2013","04","02","23","281.19","1007","61","4","310","40","3"
"2013","04","03","00","281.23","1008","61","3","290","40","3"
"2013","04","03","01","279.58","1010","36","8","340","40","3"
"2013","04","03","02","278","1011","30","10","340","20","2"
"2013","04","03","03","277.21","1012","35","9","320","1","1"
"2013","04","03","04","276.28","1013","35","8","320","1","1"
"2013","04","03","05","275.62","1014","29","2","300","1","1"
"2013","04","03","06","274.75","1014","37","5","320","1","1"
"2013","04","03","07","274.25","1014","34","8","320","1","1"
"2013","04","03","08","273.48","1014","40","5","310","1","1"
"2013","04","03","09","273.01","1014","37","5","300","1","1"
"2013","04","03","10","273.01","1014","0","2","270","1","1"
"2013","04","03","11","273","1015","47","7","310","20","2"
"2013","04","03","12","273.92","1016","43","6","310","20","2"
"2013","04","03","13","274.96","1017","43","6","300","20","2"
"2013","04","03","14","275.67","1016","40","9","310","40","3"
"2013","04","03","15","276.32","1017","34","8","260","75","4"
"2013","04","03","16","277","1015","0","4","304","11","2"
"2013","04","03","17","277.93","1014","0","3","298","11","2"
"2013","04","03","18","278.73","1014","0","3","346","1","1"
"2013","04","03","19","279.12","1015","22","9","290","40","3"
"2013","04","03","20","279.35","1014","24","10","290","40","3"
"2013","04","03","21","279.48","1015","22","6","300","40","3"
"2013","04","03","22","279.34","1015","22","6","300","75","4"
"2013","04","03","23","278.47","1016","22","9","290","20","2"
"2013","04","04","00","277.82","1016","24","6","300","20","2"
"2013","04","04","01","277.33","1017","25","5","260","20","2"
"2013","04","04","02","276.71","1018","30","5","330","20","2"
"2013","04","04","03","276.34","1018","35","6","310","20","2"
"2013","04","04","04","275.77","1019","32","7","320","20","2"
"2013","04","04","05","275.15","1019","32","7","310","1","1"
"2013","04","04","06","274.68","1019","32","9","300","1","1"
"2013","04","04","07","274.28","1019","34","5","290","1","1"
"2013","04","04","08","273.93","1019","37","7","300","1","1"
"2013","04","04","09","273.61","1019","34","5","280","1","1"
"2013","04","04","10","273.39","1020","0","2","260","1","1"
"2013","04","04","11","273.02","1021","37","9","300","20","2"
"2013","04","04","12","274.48","1021","37","7","260","20","2"
"2013","04","04","13","275.25","1021","37","7","300","20","2"
"2013","04","04","14","275.94","1021","34","6","270","20","2"
"2013","04","04","15","277.25","1021","29","9","290","20","2"
"2013","04","04","16","278.28","1021","29","5","280","20","2"
"2013","04","04","17","279.25","1021","24","6","290","20","2"
"2013","04","04","18","280.07","1018","0","3","259","0","1"
"2013","04","04","19","280.57","1019","24","9","290","20","2"
"2013","04","04","20","281.06","1019","20","7","290","20","2"
"2013","04","04","21","280.85","1020","26","8","330","20","2"
"2013","04","04","22","280.25","1021","26","9","300","20","2"
"2013","04","04","23","279.24","1022","22","10","310","20","2"
"2013","04","05","00","278.04","1023","26","10","300","1","1"
"2013","04","05","01","277.21","1024","27","6","320","1","1"
"2013","04","05","02","276.39","1025","32","8","310","1","1"
"2013","04","05","04","275.3","1025","37","10","310","1","1"
"2013","04","05","05","274.89","1025","40","5","330","1","1"
"2013","04","05","06","274.58","1025","40","5","340","1","1"
"2013","04","05","07","274.08","1026","40","4","340","1","1"
"2013","04","05","08","273.42","1027","40","5","310","1","1"
"2013","04","05","09","273.06","1027","40","3","260","1","1"
"2013","04","05","10","272.62","1027","74","0","0","1","1"
"2013","04","05","11","272.45","1028","43","4","300","1","1"
"2013","04","05","12","273.77","1029","43","3","300","20","2"
"2013","04","05","13","275.26","1028","40","2","330","20","2"
"2013","04","05","14","277.39","1028","38","1","0","75","4"
"2013","04","05","16","280.48","1027","30","3","0","75","4"
"2013","04","05","17","281.87","1026","28","3","0","75","4"
"2013","04","05","18","283.07","1025","24","3","220","75","4"
"2013","04","05","19","283.95","1024","31","4","190","75","4"
"2013","04","05","20","283.68","1023","36","8","170","75","4"
"2013","04","05","21","283.4","1022","42","7","170","75","4"
"2013","04","05","22","282.27","1022","48","6","170","75","4"
"2013","04","05","23","281.3","1022","56","4","170","90","4"
"2013","04","06","00","280.79","1021","56","4","180","90","4"
"2013","04","06","01","281.01","1021","52","4","180","90","4"
"2013","04","06","02","280.16","1020","49","5","180","90","4"
"2013","04","06","03","279.56","1020","39","5","200","90","4"
"2013","04","06","04","279.2","1019","33","5","220","90","4"
"2013","04","06","05","278.66","1018","35","5","210","90","4"
"2013","04","06","06","278.2","1018","48","5","210","90","4"
"2013","04","06","07","278.04","1017","48","1","210","1","1"
"2013","04","06","08","277.92","1016","52","4","210","90","4"
"2013","04","06","09","277.94","1015","56","3","190","90","4"
"2013","04","06","10","277.9","1015","56","0","0","90","4"
"2013","04","06","12","278.05","1014","60","1","170","90","4"
"2013","04","06","13","278.89","1013","56","0","0","75","10"
"2013","04","06","14","280.37","1012","49","0","0","75","4"
"2013","04","06","15","282.67","1011","39","4","310","40","3"
"2013","04","06","16","284.73","1010","37","2","320","40","3"
"2013","04","06","17","287.19","1009","26","2","290","20","2"
"2013","04","06","18","288.57","1006","0","3","322","3","2"
"2013","04","06","19","289.76","1006","18","6","330","20","2"
"2013","04","06","20","289.98","1006","23","8","310","20","2"
"2013","04","06","21","289.37","1006","23","9","330","20","2"
"2013","04","06","22","288.5","1008","22","7","320","20","2"
"2013","04","06","23","286.67","1009","19","7","330","20","2"
"2013","04","07","00","284.89","1011","22","8","340","20","2"
"2013","04","07","01","283.38","1012","25","8","330","1","1"
"2013","04","07","02","281.9","1012","0","4","349","0","1"
"2013","04","07","03","280.05","1015","36","7","330","1","1"
"2013","04","07","04","279.11","1016","38","8","330","1","1"
"2013","04","07","05","278.02","1016","38","9","320","1","1"
"2013","04","07","06","277.31","1017","38","9","330","1","1"
"2013","04","07","07","276.49","1018","38","7","320","1","1"
"2013","04","07","08","275.93","1019","38","7","320","1","1"
"2013","04","07","09","275.43","1020","44","7","320","1","1"
"2013","04","07","10","274.81","1021","44","5","310","20","2"
"2013","04","07","11","274.76","1022","44","6","330","20","2"
"2013","04","07","12","275.74","1023","44","2","340","40","3"
"2013","04","07","13","276.65","1024","37","6","10","40","3"
"2013","04","07","14","277.73","1025","29","5","10","20","2"
"2013","04","07","15","278.92","1026","23","4","350","20","2"
"2013","04","07","16","280.11","1026","26","4","310","20","2"
"2013","04","07","17","280.91","1025","20","4","340","1","1"
"2013","04","07","18","282.15","1025","20","3","320","1","1"
"2013","04","07","19","283.23","1025","15","3","290","20","2"
"2013","04","07","20","284.08","1024","13","0","0","20","2"
"2013","04","07","21","284.15","1025","14","2","240","20","2"
"2013","04","07","22","283.48","1025","24","6","200","20","2"
"2013","04","07","23","281.7","1026","42","6","190","40","3"
"2013","04","08","00","280.38","1026","45","5","170","40","3"
"2013","04","08","01","279.34","1026","52","5","180","40","3"
"2013","04","08","02","278.29","1026","56","4","170","20","2"
"2013","04","08","03","277.76","1026","56","4","170","20","2"
"2013","04","08","04","277.28","1026","56","2","180","20","2"
"2013","04","08","05","276.84","1026","56","3","180","20","2"
"2013","04","08","06","276.52","1026","56","3","200","40","3"
"2013","04","08","07","276.69","1026","56","4","200","75","4"
"2013","04","08","08","276.5","1026","60","3","210","75","4"
"2013","04","08","09","276.53","1025","60","3","220","75","4"
"2013","04","08","10","276.89","1025","52","4","210","75","4"
"2013","04","08","11","277.25","1025","69","1","210","40","3"
"2013","04","08","12","278.32","1025","39","4","220","75","4"
"2013","04","08","13","279.54","1025","36","4","190","75","4"
"2013","04","08","14","281.23","1025","49","7","170","75","10"
"2013","04","08","15","283.19","1024","0","9","170","75","4"
"2013","04","08","16","284.72","1023","50","8","170","40","3"
"2013","04","08","17","286.04","1021","50","9","170","75","4"
"2013","04","08","18","286.5","0","0","2","101","82","4"
"2013","04","08","19","286.44","1020","54","9","170","75","4"
"2013","04","08","20","286.4","1018","57","10","180","75","4"
"2013","04","08","21","286.12","1017","62","9","170","75","4"
"2013","04","08","22","286.47","1016","66","12","160","75","4"
"2013","04","08","23","285.16","1017","71","6","180","90","10"
"2013","04","09","00","284.65","1017","76","5","180","75","4"
"2013","04","09","01","284.37","1017","76","6","170","40","3"
"2013","04","09","02","284.13","1017","81","6","165","62","4"
"2013","04","09","03","283.75","1017","76","3","170","40","3"
"2013","04","09","04","283.64","1016","71","2","130","40","3"
"2013","04","09","05","283.63","1016","81","3","140","75","4"
"2013","04","09","06","283.25","1016","81","2","130","75","4"
"2013","04","09","07","282.8","1015","81","1","180","75","4"
"2013","04","09","08","281.96","1015","87","2","70","40","3"
"2013","04","09","09","281.11","1015","81","0","0","20","2"
"2013","04","09","10","280.68","1016","81","1","210","40","3"
"2013","04","09","11","280.88","1017","81","2","220","75","4"
"2013","04","09","12","282.34","1018","78","3","284","51","4"
"2013","04","09","13","285.42","1018","66","2","40","40","3"
"2013","04","09","14","287.75","1018","66","2","60","20","2"
"2013","04","09","15","289.74","1018","47","3","50","20","2"
"2013","04","09","16","291.76","1018","42","1","330","20","2"
"2013","04","09","17","293.65","1018","34","2","30","20","2"
"2013","04","09","18","294.83","1020","0","0","179","65","4"
"2013","04","09","19","295.56","1016","30","4","120","75","4"
"2013","04","09","20","295.3","1016","32","5","180","75","4"
"2013","04","09","21","294.17","1016","37","5","180","75","4"
"2013","04","09","22","291.88","1016","42","5","190","75","4"
"2013","04","09","23","290.46","1016","42","5","160","75","4"
"2013","04","10","00","289.01","1017","48","3","170","75","4"
"2013","04","10","01","287.78","1017","58","4","170","75","4"
"2013","04","10","02","286.6","1017","62","4","160","75","4"
"2013","04","10","03","285.96","1020","0","0","144","83","4"
"2013","04","10","04","285.22","1016","76","3","150","75","4"
"2013","04","10","05","285.09","1016","81","2","130","90","4"
"2013","04","10","06","284.84","1015","81","2","120","90","10"
"2013","04","10","07","284.73","1014","76","1","60","90","10"
"2013","04","10","08","284.26","1014","87","2","70","90","4"
"2013","04","10","09","283.74","1014","87","1","60","90","4"
"2013","04","10","10","283.65","1014","87","0","0","1","1"
"2013","04","10","11","283.92","1014","87","2","60","40","50"
"2013","04","10","12","285.92","1015","76","0","0","75","4"
"2013","04","10","13","290.03","1014","63","1","30","75","4"
"2013","04","10","14","294.75","1014","43","6","260","75","4"
"2013","04","10","15","297.16","1014","33","10","280","75","4"
"2013","04","10","16","298.37","1014","29","7","300","75","4"
"2013","04","10","17","299.35","1020","0","4","311","39","3"
"2013","04","10","18","300.26","1014","24","4","280","40","3"
"2013","04","10","19","300.54","1013","21","5","310","40","3"
"2013","04","10","20","300.81","1013","19","6","310","40","3"
"2013","04","10","21","301.06","1013","16","5","340","20","2"
"2013","04","10","22","300.6","1013","16","5","320","20","2"
"2013","04","10","23","298.37","1014","0","2","10","40","3"
"2013","04","11","00","296.35","1014","26","2","60","40","3"
"2013","04","11","01","293.47","1014","23","4","80","75","4"
"2013","04","11","02","292.34","1015","28","3","70","40","3"
"2013","04","11","03","291.7","1013","39","2","60","40","3"
"2013","04","11","04","290.95","1012","45","3","150","40","3"
"2013","04","11","05","290.79","1012","48","2","160","75","4"
"2013","04","11","06","290.76","1011","55","2","30","90","4"
"2013","04","11","07","290.8","1009","52","3","180","40","3"
"2013","04","11","08","290.35","1011","58","3","50","75","4"
"2013","04","11","09","287.7","1012","58","2","100","40","3"
"2013","04","11","10","286.42","1012","62","3","50","75","4"
"2013","04","11","11","285.84","1013","71","2","40","75","4"
"2013","04","11","12","287.03","1014","66","1","30","75","4"
"2013","04","11","13","288.23","1014","66","3","90","75","4"
"2013","04","11","14","290.5","1014","67","3","70","1","1"
"2013","04","11","15","292.7","1014","62","4","50","75","4"
